20.00		25.00
20.08		24.90
20.16		24.80
20.24		24.70
20.32		24.61
20.40		24.51
20.48		24.41
20.56		24.32
20.64		24.22
20.72		24.13
20.80		24.04
20.88		23.95
20.96		23.85
21.04		23.76
21.12		23.67
21.20		23.58
21.28		23.50
21.36		23.41
21.44		23.32
21.52		23.23
21.60		23.15
21.68		23.06
21.76		22.98
21.84		22.89
21.92		22.81
22.00		22.73
22.08		22.64
22.16		22.56
22.24		22.48
22.32		22.40
22.40		22.32
22.48		22.24
22.56		22.16
22.64		22.08
22.72		22.01
22.80		21.93
22.88		21.85
22.96		21.78
23.04		21.70
23.12		21.63
23.20		21.55
23.28		21.48
23.36		21.40
23.44		21.33
23.52		21.26
23.60		21.19
23.68		21.11
23.76		21.04
23.84		20.97
23.92		20.90
24.00		20.83
24.08		20.76
24.16		20.70
24.24		20.63
24.32		20.56
24.40		20.49
24.48		20.42
24.56		20.36
24.64		20.29
24.72		20.23
24.80		20.16
24.88		20.10
24.96		20.03
25.04		19.97
25.12		19.90
25.20		19.84
25.28		19.78
25.36		19.72
25.44		19.65
25.52		19.59
25.60		19.53
25.68		19.47
25.76		19.41
25.84		19.35
25.92		19.29
26.00		19.23
26.08		19.17
26.16		19.11
26.24		19.05
26.32		19.00
26.40		18.94
26.48		18.88
26.56		18.83
26.64		18.77
26.72		18.71
26.80		18.66
26.88		18.60
26.96		18.55
27.04		18.49
27.12		18.44
27.20		18.38
27.28		18.33
27.36		18.27
27.44		18.22
27.52		18.17
27.60		18.12
27.68		18.06
27.76		18.01
27.84		17.96
27.92		17.91
28.00		17.86
28.08		17.81
28.16		17.76
28.24		17.71
28.32		17.66
28.40		17.61
28.48		17.56
28.56		17.51
28.64		17.46
28.72		17.41
28.80		17.36
28.88		17.31
28.96		17.27
29.04		17.22
29.12		17.17
29.20		17.12
29.28		17.08
29.36		17.03
29.44		16.98
29.52		16.94
29.60		16.89
29.68		16.85
29.76		16.80
29.84		16.76
29.92		16.71
30.00		16.67
30.08		16.62
30.16		16.58
30.24		16.53
30.32		16.49
30.40		16.45
30.48		16.40
30.56		16.36
30.64		16.32
30.72		16.28
30.80		16.23
30.88		16.19
30.96		16.15
31.04		16.11
31.12		16.07
31.20		16.03
31.28		15.98
31.36		15.94
31.44		15.90
31.52		15.86
31.60		15.82
31.68		15.78
31.76		15.74
31.84		15.70
31.92		15.66
32.00		15.62
32.08		15.59
32.16		15.55
32.24		15.51
32.32		15.47
32.40		15.43
32.48		15.39
32.56		15.36
32.64		15.32
32.72		15.28
32.80		15.24
32.88		15.21
32.96		15.17
33.04		15.13
33.12		15.10
33.20		15.06
33.28		15.02
33.36		14.99
33.44		14.95
33.52		14.92
33.60		14.88
33.68		14.85
33.76		14.81
33.84		14.78
33.92		14.74
34.00		14.71
34.08		14.67
34.16		14.64
34.24		14.60
34.32		14.57
34.40		14.53
34.48		14.50
34.56		14.47
34.64		14.43
34.72		14.40
34.80		14.37
34.88		14.33
34.96		14.30
35.04		14.27
35.12		14.24
35.20		14.20
35.28		14.17
35.36		14.14
35.44		14.11
35.52		14.08
35.60		14.04
35.68		14.01
35.76		13.98
35.84		13.95
35.92		13.92
36.00		13.89
36.08		13.86
36.16		13.83
36.24		13.80
36.32		13.77
36.40		13.74
36.48		13.71
36.56		13.68
36.64		13.65
36.72		13.62
36.80		13.59
36.88		13.56
36.96		13.53
37.04		13.50
37.12		13.47
37.20		13.44
37.28		13.41
37.36		13.38
37.44		13.35
37.52		13.33
37.60		13.30
37.68		13.27
37.76		13.24
37.84		13.21
37.92		13.19
38.00		13.16
38.08		13.13
38.16		13.10
38.24		13.08
38.32		13.05
38.40		13.02
38.48		12.99
38.56		12.97
38.64		12.94
38.72		12.91
38.80		12.89
38.88		12.86
38.96		12.83
39.04		12.81
39.12		12.78
39.20		12.76
39.28		12.73
39.36		12.70
39.44		12.68
39.52		12.65
39.60		12.63
39.68		12.60
39.76		12.58
39.84		12.55
39.92		12.53
40.00		12.50
40.08		12.48
40.16		12.45
40.24		12.43
40.32		12.40
40.40		12.38
40.48		12.35
40.56		12.33
40.64		12.30
40.72		12.28
40.80		12.25
40.88		12.23
40.96		12.21
41.04		12.18
41.12		12.16
41.20		12.14
41.28		12.11
41.36		12.09
41.44		12.07
41.52		12.04
41.60		12.02
41.68		12.00
41.76		11.97
41.84		11.95
41.92		11.93
42.00		11.90
42.08		11.88
42.16		11.86
42.24		11.84
42.32		11.81
42.40		11.79
42.48		11.77
42.56		11.75
42.64		11.73
42.72		11.70
42.80		11.68
42.88		11.66
42.96		11.64
43.04		11.62
43.12		11.60
43.20		11.57
43.28		11.55
43.36		11.53
43.44		11.51
43.52		11.49
43.60		11.47
43.68		11.45
43.76		11.43
43.84		11.41
43.92		11.38
44.00		11.36
44.08		11.34
44.16		11.32
44.24		11.30
44.32		11.28
44.40		11.26
44.48		11.24
44.56		11.22
44.64		11.20
44.72		11.18
44.80		11.16
44.88		11.14
44.96		11.12
45.04		11.10
45.12		11.08
45.20		11.06
45.28		11.04
45.36		11.02
45.44		11.00
45.52		10.98
45.60		10.96
45.68		10.95
45.76		10.93
45.84		10.91
45.92		10.89
46.00		10.87
46.08		10.85
46.16		10.83
46.24		10.81
46.32		10.79
46.40		10.78
46.48		10.76
46.56		10.74
46.64		10.72
46.72		10.70
46.80		10.68
46.88		10.67
46.96		10.65
47.04		10.63
